half,time,home_play,home_score,away_score,away_play
1st Half,19:40,"GOOD LAYUP by RUIZ,GULLERMO GASSET(in the paint)",2(+2),,0
1st Half,--,"ASSIST  by HELMHOLD,LINUS",,,
1st Half,19:26,,,,
1st Half,--,"REBOUND DEF by ARMANT,JACOB",,,
1st Half,19:13,"MISS JUMPER by GARDINER,ASHER",,,
1st Half,--,,,,
1st Half,18:49,,2,,2
1st Half,--,,,,
1st Half,18:33,"MISS 3PTR by HELMHOLD,LINUS",,,
1st Half,--,,,,
1st Half,18:22,"FOUL  by RUIZ,GULLERMO GASSET",,,
1st Half,18:17,,2,,4(+2)
1st Half,--,,,,
1st Half,17:49,"MISS LAYUP by MCNAMARA,BRENDAN",,,
1st Half,--,"REBOUND OFF by MCNAMARA,BRENDAN",,,
1st Half,17:43,"SUB IN by GRAMLICH,HANK",,,
1st Half,17:43,"SUB OUT by MCNAMARA,BRENDAN",,,
1st Half,17:31,"MISS LAYUP by GARDINER,ASHER",,,
1st Half,--,,,,
1st Half,17:18,,2,,7(+5)
1st Half,--,,,,
1st Half,16:48,"MISS JUMPER by ARMANT,JACOB",,,
1st Half,16:48,,,,
1st Half,--,,,,
1st Half,16:45,"SUB IN by LUESSENHOP,OTTO",,,
1st Half,16:45,"SUB OUT by GARDINER,ASHER",,,
1st Half,16:32,,,,
1st Half,--,,,,
1st Half,16:28,,,,
1st Half,--,,,,
1st Half,16:17,,2,,9(+7)
1st Half,--,,,,
1st Half,16:08,"TURNOVER  by ARMANT,JACOB",,,
1st Half,16:07,,,,
1st Half,16:01,,,,
1st Half,--,,,,
1st Half,15:58,,,,
1st Half,--,"REBOUND DEF by ARMANT,JACOB",,,
1st Half,15:52,"MISS LAYUP by LUESSENHOP,OTTO",,,
1st Half,--,,,,
1st Half,15:35,,,,
1st Half,15:34,"STEAL  by HELMHOLD,LINUS",,,
1st Half,15:07,,,,
1st Half,15:07,"MISS FT by HELMHOLD,LINUS",,,
1st Half,--,REBOUND DEADB by TEAM,,,
1st Half,15:07,"GOOD FT by HELMHOLD,LINUS",3,,9(+6)
1st Half,15:07,,,,
1st Half,15:07,,,,
1st Half,15:07,,,,
1st Half,15:07,,,,
1st Half,14:55,,3,,12(+9)
1st Half,--,,,,
1st Half,14:25,"GOOD 3PTR by LUESSENHOP,OTTO",6,,12(+6)
1st Half,--,"ASSIST  by ARMANT,JACOB",,,
1st Half,14:06,,6,,14(+8)
1st Half,13:43,,,,
1st Half,13:43,"MISS FT by GRAMLICH,HANK",,,
1st Half,--,REBOUND DEADB by TEAM,,,
1st Half,13:43,"GOOD FT by GRAMLICH,HANK",7,,14(+7)
1st Half,13:43,"SUB IN by LJ GLOVER,JR",,,
1st Half,13:43,"SUB IN by ROBAN,SHAY",,,
1st Half,13:43,"SUB OUT by HELMHOLD,LINUS",,,
1st Half,13:43,"SUB OUT by ARMANT,JACOB",,,
1st Half,13:43,,,,
1st Half,13:43,,,,
1st Half,13:27,,7,,17(+10)
1st Half,--,,,,
1st Half,13:06,"MISS 3PTR by RUIZ,GULLERMO GASSET",,,
1st Half,--,,,,
1st Half,12:53,,,,
1st Half,--,"REBOUND DEF by GRAMLICH,HANK",,,
1st Half,12:38,"TURNOVER  by ROBAN,SHAY",,,
1st Half,12:38,,,,
1st Half,12:32,,,,
1st Half,12:32,"STEAL  by RUIZ,GULLERMO GASSET",,,
1st Half,12:28,,,,
1st Half,12:28,"SUB IN by VOLONTE,GIULIO",,,
1st Half,12:28,"SUB IN by ZUREK,CADEN",,,
1st Half,12:28,"SUB OUT by LUESSENHOP,OTTO",,,
1st Half,12:28,"SUB OUT by ROBAN,SHAY",,,
1st Half,12:28,,,,
1st Half,12:28,,,,
1st Half,12:28,,,,
1st Half,12:28,,,,
1st Half,12:28,,,,
1st Half,12:28,,,,
1st Half,12:18,"MISS JUMPER by ZUREK,CADEN",,,
1st Half,--,,,,
1st Half,12:08,,,,
1st Half,12:08,"BLOCK  by ZUREK,CADEN",,,
1st Half,--,REBOUND DEF by TEAM,,,
1st Half,11:59,,,,
1st Half,11:59,,,,
1st Half,11:45,"MISS JUMPER by GRAMLICH,HANK",,,
1st Half,11:45,,,,
1st Half,--,,,,
1st Half,11:27,,,,
1st Half,11:27,"SUB IN by ARMANT,JACOB",,,
1st Half,11:27,"SUB IN by MCNAMARA,BRENDAN",,,
1st Half,11:27,"SUB OUT by GRAMLICH,HANK",,,
1st Half,11:27,"SUB OUT by RUIZ,GULLERMO GASSET",,,
1st Half,11:27,,,,
1st Half,11:27,,,,
1st Half,11:02,"MISS JUMPER by ARMANT,JACOB",,,
1st Half,--,,,,
1st Half,10:48,,,,
1st Half,--,"REBOUND DEF by ZUREK,CADEN",,,
1st Half,10:33,,,,
1st Half,10:33,,,,
1st Half,10:33,,,,
1st Half,10:33,,,,
1st Half,10:33,,,,
1st Half,10:33,,,,
1st Half,10:33,,,,
1st Half,10:32,"MISS JUMPER by VOLONTE,GIULIO",,,
1st Half,--,,,,
1st Half,10:24,"SUB IN by HELMHOLD,LINUS",,,
1st Half,10:24,"SUB OUT by ZUREK,CADEN",,,
